優先度,カテゴリ,ファイル名,用途,使用ページ
最優先,共通,images/logo.png,ヘッダー・フッターのロゴ,全ページ
最優先,講師写真,images/staff-sato.jpg,佐藤先生（塾長）,index.html
最優先,講師写真,images/staff-fujii.jpg,藤井先生（プロ講師）,index.html
最優先,講師写真,images/staff-miura.jpg,三浦先生（プロ講師）,index.html
最優先,講師写真,images/staff-tachikawa.jpg,立川先生（プロ講師）,index.html
最優先,講師写真,images/staff-ikeda.jpg,池田先生（プロ講師）,index.html
最優先,講師写真,images/staff-nakatani.jpg,中谷先生（プロ講師）,index.html
最優先,講師写真,images/staff-sakamoto.jpg,坂本先生（プロ講師）,index.html
最優先,講師写真,images/staff-higuchi.jpg,樋口先生（プロ講師）,index.html
最優先,講師写真,images/staff-nishiyama.jpg,西山先生（プロ講師）,index.html
最優先,講師写真,images/staff-tsuruta.jpg,鶴田先生（プロ講師）,index.html
最優先,講師写真,images/staff-nagata.jpg,永田先生（毎日課題Dir.）,index.html
最優先,講師写真,images/staff-takizawa.jpg,瀧澤先生（毎日課題Dir.）,index.html
最優先,講師写真,images/staff-hayano.jpg,早野先生（毎日課題Staff）,index.html
最優先,講師写真,images/staff-hatayama.jpg,畑山先生（毎日課題Staff）,index.html
最優先,講師写真,images/staff-yonaha.jpg,與那覇先生（毎日課題Staff）,index.html
次優先,ギャラリー,images/gallery-classroom.jpg,塾内・自習室の様子,index.html
次優先,ギャラリー,images/gallery-lesson.jpg,個別指導の様子,index.html
次優先,ギャラリー,images/gallery-teacher.jpg,講師との対話授業,index.html
次優先,ギャラリー,images/gallery-study.jpg,自習室で勉強中,index.html
次優先,ギャラリー,images/gallery-essay.jpg,小論文添削,index.html
次優先,ギャラリー,images/gallery-pass.jpg,合格発表の瞬間,index.html
任意,ヒーロー,images/hero-character.png,トップページ右側のキャラクター・イラスト,index.html
任意,Instagram,images/ig-post-01.jpg,Instagram最新投稿1枚目,index.html
任意,Instagram,images/ig-post-02.jpg,Instagram最新投稿2枚目,index.html
任意,Instagram,images/ig-post-03.jpg,Instagram最新投稿3枚目,index.html
任意,Instagram,images/ig-post-04.jpg,Instagram最新投稿4枚目,index.html
任意,Instagram,images/ig-post-05.jpg,Instagram最新投稿5枚目,index.html
任意,Instagram,images/ig-post-06.jpg,Instagram最新投稿6枚目,index.html
